suite,system,case_id,fault_type,ground_truth,prediction_top1,rank_of_ground_truth,diagnostic_path,candidate_pool_contains_gt,top_candidates,status,available_modalities,short_reason,error_type,suspected_failure_mode
RE2,Online Boutique,RE2-OB/checkoutservice_cpu/3,cpu,checkoutservice,adservice,2,shortcut,1,"[""adservice"", ""checkoutservice"", ""productcatalogservice"", ""paymentservice"", ""currencyservice""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Online Boutique,RE2-OB/checkoutservice_delay/1,delay,checkoutservice,shippingservice,3,shortcut,1,"[""shippingservice"", ""emailservice"", ""checkoutservice"", ""cartservice"", ""currencyservice""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Online Boutique,RE2-OB/checkoutservice_delay/2,delay,checkoutservice,shippingservice,2,shortcut,1,"[""shippingservice"", ""checkoutservice"", ""emailservice"", ""paymentservice"", ""cartservice""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Online Boutique,RE2-OB/checkoutservice_delay/3,delay,checkoutservice,paymentservice,,shortcut,0,"[""paymentservice"", ""recommendationservice"", ""productcatalogservice"", ""currencyservice"", ""adservice""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Online Boutique,RE2-OB/checkoutservice_loss/3,loss,checkoutservice,paymentservice,2,shortcut,1,"[""paymentservice"", ""checkoutservice"", ""emailservice"", ""currencyservice"", ""productcatalogservice""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected a network/latency symptom without full trace-direction checks,missing_trace_direction,IVD shortcut over-trusted propagation surface signals
RE2,Online Boutique,RE2-OB/currencyservice_cpu/2,cpu,currencyservice,cartservice,2,shortcut,1,"[""cartservice"", ""currencyservice"", ""checkoutservice"", ""productcatalogservice"", ""recommendationservice""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Online Boutique,RE2-OB/currencyservice_socket/1,socket,currencyservice,productcatalogservice,3,shortcut,1,"[""productcatalogservice"", ""adservice"", ""currencyservice"", ""shippingservice"", ""frontend""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Online Boutique,RE2-OB/emailservice_loss/2,loss,emailservice,checkoutservice,,shortcut,0,"[""checkoutservice"", ""recommendationservice""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Online Boutique,RE2-OB/productcatalogservice_loss/2,loss,productcatalogservice,recommendationservice,,egcda,0,[],continuous_final,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Online Boutique,RE2-OB/productcatalogservice_mem/1,mem,productcatalogservice,recommendationservice,,shortcut,0,"[""recommendationservice"", ""frontend"", ""adservice"", ""currencyservice""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/carts_socket/1,socket,carts,queue-master,2,shortcut,1,"[""queue-master"", ""carts"", ""front-end"", ""orders""]",lightweight_ivd_shortcut,metrics/logs/traces,shortcut selected the wrong resource owner,false_cpsi_shortcut,IVD/CPSI consensus was too permissive for a noisy multi-service case
RE2,Sock Shop,RE2-SS/catalogue_disk/1,disk,catalogue,queue-master,,shortcut,0,"[""queue-master"", ""carts"", ""orders""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/catalogue_loss/2,loss,catalogue,carts,,shortcut,0,"[""carts"", ""front-end"", ""payment"", ""shipping"", ""queue-master""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/catalogue_loss/3,loss,catalogue,carts,,shortcut,0,"[""carts"", ""orders"", ""user"", ""front-end"", ""queue-master""]",lightweight_ivd_shortcut,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
RE2,Sock Shop,RE2-SS/orders_cpu/2,cpu,orders,queue-master,,egcda,0,[],continuous_final,metrics/logs/traces,ground truth is absent from the exported top-candidate list,candidate_pool_miss,recall/ranking stage did not retain the true component
